City,State,Population,Latitude,Longitude
Woodstock ,GA,23141,34.1014873,-84.5193754
Lisle,IL,23135,41.801141,-88.0747875
Northport ,AL,23118,33.229007,-87.5772293
Hudson ,OH,23037,41.240056,-81.44066699999999
Romulus ,MI,22963,42.2222614,-83.39659940000001
Benbrook ,TX,22957,32.673188,-97.4605759
Newberg ,OR,22953,45.3001178,-122.9731565
Norfolk ,NE,22940,42.03272339999999,-97.41375529999999
Watertown ,WI,22930,43.1947211,-88.7289918
Huntley,IL,22923,42.1680796,-88.4281415
Sahuarita,AZ,22913,31.9575818,-110.955646
Centerville ,OH,22904,39.6283928,-84.15938179999999
Oxford ,OH,22887,39.5069974,-84.74523099999999
Cliffside Park,NJ,22863,40.8214894,-73.9876388
Alvin ,TX,22853,29.4238472,-95.24410089999999
Yukon ,OK,22849,35.5067215,-97.76254410000001
Kerrville ,TX,22821,30.0474332,-99.1403189
Fredericksburg ,VA,22818,38.3031837,-77.4605399
Machesney Park,IL,22815,42.3472406,-89.03899559999999
Selma ,CA,22807,36.5707838,-119.6120765
Austin ,MN,22800,43.6666296,-92.97463669999999
Moscow ,ID,22798,46.73238749999999,-117.0001651
East Peoria ,IL,22760,40.666149,-89.5800978
Oak Harbor ,WA,22744,48.2931559,-122.6432245
Woodburn ,OR,22728,45.143731,-122.8553725
Brawley ,CA,22725,32.9786566,-115.530267
Canton ,GA,22724,34.2367621,-84.4907621
Palmetto Bay,FL,22666,25.6217715,-80.3247748
Highland,IN,22641,41.5536468,-87.451984
Coronado ,CA,22633,32.6858853,-117.1830891
South Plainfield,NJ,22623,40.5792701,-74.4115401
Temple Terrace ,FL,22619,28.0352964,-82.3892596
Duncan ,OK,22617,34.5023028,-97.9578128
Park Forest,IL,22583,41.4914236,-87.6744891
Willoughby ,OH,22561,41.6397696,-81.4065011
Van Buren ,AR,22543,35.436756,-94.34826799999999
Greenwood ,SC,22533,34.1954001,-82.1617883
Derby ,KS,22517,37.5455735,-97.2689331
Muscatine ,IA,22504,41.424473,-91.0432051
Morton Grove,IL,22478,42.0405852,-87.78256209999999
Alliance ,OH,22476,40.9153362,-81.10593089999999
Kingston ,NY,22441,41.9270367,-73.9973608
Keene ,NH,22407,42.933692,-72.2781409
Kernersville,NC,22392,36.1198588,-80.07365329999999
Darien ,IL,22370,41.7483483,-87.9737943
Key West ,FL,22364,24.5550593,-81.7799871
Kinston ,NC,22360,35.2626635,-77.5816353
Webster Groves ,MO,22335,38.5925524,-90.3573389
Laurel ,MD,22329,39.0992752,-76.8483061
Blue Island ,IL,22325,41.6572562,-87.68004859999999
Eagle Mountain ,UT,22309,40.31411689999999,-112.006882
Searcy ,AR,22299,35.2468204,-91.73368459999999
Chillicothe ,OH,22296,39.3331197,-82.9824019
Agoura Hills ,CA,22283,34.1533395,-118.7616764
Garden City,NY,22275,40.7267682,-73.6342954
El Cerrito ,CA,22222,37.9161326,-122.310765
Villa Park,IL,22198,41.8897519,-87.98895429999999
Syracuse ,UT,22195,41.0893878,-112.0646657
Calabasas ,CA,22185,34.1367208,-118.6614809
Brandon ,MS,22160,32.2732024,-89.9859158
McKeesport ,PA,22130,40.3470671,-79.8641232
Hastings ,MN,22126,44.7443293,-92.8513706
Leesburg ,FL,22113,28.810823,-81.87785819999999
Munster,IN,22105,41.5644798,-87.5125412
Athens ,OH,22088,39.3292396,-82.1012554
Del City ,OK,22067,35.4420062,-97.4408698
Herndon,VA,22045,38.9695545,-77.3860976
Radcliff ,KY,22013,37.8403456,-85.9491298
Faribault ,MN,22009,44.2949636,-93.268827
Lumberton ,NC,22006,34.6182199,-79.0086424
Troy ,OH,21975,40.0394982,-84.20327669999999
Mooresville,NC,21954,35.5848596,-80.8100724
Waynesboro ,VA,21953,38.0684692,-78.8894682
Bainbridge Island ,WA,21890,47.62487910000001,-122.5210008
Clarksville,IN,21873,38.2967362,-85.759963
Solon ,OH,21866,41.3897764,-81.44122589999999
Melrose Park,IL,21853,41.9005865,-87.8567276
Ashland ,OH,21850,40.8686675,-82.3182178
Bloomingdale,IL,21848,41.9575285,-88.0809036
Libertyville,IL,21843,42.2830786,-87.9531303
Duarte ,CA,21839,34.1394513,-117.9772873
Kiryas Joel,NY,21793,41.3420381,-74.167924
Mauldin ,SC,21784,34.77873,-82.310119
Havelock ,NC,21764,34.8790492,-76.9013301
Grayslake,IL,21735,42.34446639999999,-88.04174599999999
Hazleton ,PA,21732,40.9584181,-75.97464719999999
Miami Lakes,FL,21727,25.9087056,-80.30866189999999
Blythe ,CA,21727,33.6177725,-114.5882607
Forest Park ,GA,21726,33.6220542,-84.36909179999999
Mount Juliet ,TN,21718,36.200055,-86.5186054
Charleston ,IL,21715,39.4961458,-88.1761521
Crystal ,MN,21707,45.0327425,-93.3602286
Independence ,KY,21694,38.94311829999999,-84.54410899999999
Jacksonville Beach ,FL,21673,30.2841224,-81.3961338
Johnstown ,PA,21641,40.32674069999999,-78.9219698
South Salt Lake ,UT,21607,40.7188354,-111.8882691
Loma Linda ,CA,21601,34.0483474,-117.2611527
Columbus ,NE,21595,41.43029730000001,-97.3593904
Georgetown ,KY,21589,38.2097967,-84.55883109999999
New Brighton ,MN,21563,45.0655212,-93.2018908
Naples ,FL,21532,26.1420358,-81.7948103
Ridgeland ,MS,21509,32.4284761,-90.1323087
Prairie Village ,KS,21479,38.9916726,-94.6335684
Port Hueneme ,CA,21478,34.1477829,-119.1951074
Ypsilanti ,MI,21464,42.2411499,-83.61299389999999
Shelby ,NC,21449,35.2923513,-81.5356463
Biddeford ,ME,21435,43.4925843,-70.45338439999999
Edgewater ,FL,21415,28.9888754,-80.9022758
South El Monte ,CA,21397,34.0519548,-118.0467339
Adrian ,MI,21391,41.8975471,-84.03716589999999
Ashland ,OR,21390,42.1945758,-122.7094767
Monroe ,MI,21374,41.9164343,-83.3977101
Ashland ,KY,21346,38.4784144,-82.63793869999999
Plainview ,TX,21334,34.1847936,-101.7068417
Pottstown,PA,21288,40.2453741,-75.6496302
Pelham ,AL,21266,33.2856687,-86.8099885
South Euclid ,OH,21209,41.5231076,-81.5184553
Rosemount ,MN,21197,44.7394103,-93.12577230000001
Kalispell ,MT,21182,48.1919889,-114.3168131
La Porte ,IN,21174,41.611143,-86.7227195
Sapulpa ,OK,21173,35.9987007,-96.1141664
Westfield,IN,21171,40.0428151,-86.1274888
North Plainfield,NJ,21143,40.6301025,-74.4273743
South Elgin,IL,21131,41.9941938,-88.29229959999999
South Milwaukee ,WI,21129,42.9105722,-87.8606367
Ruston ,LA,21123,32.5232053,-92.63792699999999
Ferndale ,MI,21112,42.4605917,-83.1346478
Greenbelt ,MD,21098,39.0045544,-76.87552819999999
South Holland,IL,21083,41.6008681,-87.60698939999999
Mountain Brook ,AL,21061,33.5009384,-86.75221069999999
Lake Forest ,IL,20990,42.2586342,-87.840625
Sedalia ,MO,20990,38.7044609,-93.2282613
Forest Grove ,OR,20985,45.5198364,-123.1106631
Ferguson ,MO,20964,38.7442175,-90.3053915
Venice ,FL,20946,27.0997775,-82.4542632
Auburn Hills ,MI,20931,42.6875323,-83.2341028
Marquette ,MI,20916,46.5475825,-87.39559539999999
East Moline ,IL,20892,41.5008673,-90.4442979
Holly Springs,NC,20870,35.6512655,-78.8336218
Millbrae ,CA,20800,37.5985468,-122.3871942
Florence,AZ,20781,33.0314508,-111.3873431
Corinth ,TX,20773,33.1540091,-97.0647322
Mukilteo ,WA,20742,47.9445396,-122.3045815
North Augusta ,SC,20712,33.5018026,-81.9651152
Milwaukie ,OR,20707,45.4462305,-122.6392606
Milledgeville ,GA,20703,33.0801429,-83.2320991
Wadsworth ,OH,20696,41.0256101,-81.72985190000001
Gardner ,MA,20682,42.5750883,-71.998133
Roseburg ,OR,20681,43.216505,-123.3417381
Bixby ,OK,20678,35.9420431,-95.88332349999999
La Canada Flintridge ,CA,20671,34.2068182,-118.2000277
Junction City ,KS,20671,39.0286093,-96.83139779999999
West Mifflin,PA,20669,40.3634026,-79.86643749999999
Lockport ,NY,20630,43.1706128,-78.6903098
Oxford ,AL,20622,33.6142714,-85.8349648
Lake Zurich,IL,20610,42.19696889999999,-88.0934108
Riverbank ,CA,20606,37.7360396,-120.9354895
Arnold ,MO,20603,38.4328317,-90.3776187
Roselle,NJ,20599,40.6527292,-74.2592769
Piqua ,OH,20582,40.1447732,-84.24244490000001
Summit ,NJ,20557,40.7146376,-74.3646122
Lebanon ,OH,20535,39.4353373,-84.2029922
Hamtramck ,MI,20512,42.3928151,-83.0496438
Cumberland ,MD,20495,39.6528654,-78.7625185
Watertown ,SD,20488,44.8994088,-97.1150732
Crest Hill ,IL,20451,41.554753,-88.0986709
Portsmouth ,NH,20443,43.0717552,-70.7625532
New Hope ,MN,20428,45.0380201,-93.3866185
Lexington ,NC,20407,35.8240265,-80.2533838
Yucca Valley,CA,20375,34.1141743,-116.432235
Kenmore ,WA,20374,47.7583576,-122.2496863
Mint Hill,NC,20369,35.1735404,-80.6570304
Hays ,KS,20368,38.8791783,-99.3267702
Farragut,TN,20350,35.8778548,-84.17113450000001
Golden Valley ,MN,20344,44.9917149,-93.3600034
Norwood ,OH,20341,39.1644798,-84.4542798
Dinuba ,CA,20335,36.5432837,-119.3870656
Easley ,SC,20325,34.829838,-82.6015206
Oakdale ,CA,20299,37.7665947,-120.8471545
Portsmouth ,OH,20297,38.7317431,-82.9976742
Saginaw ,TX,20295,32.8601275,-97.3639068
Klamath Falls ,OR,20276,42.224867,-121.7816704
Sebastian ,FL,20265,27.816415,-80.4706078
Rock Springs ,WY,20200,41.58746439999999,-109.2029043
Lino Lakes ,MN,20174,45.1602442,-93.0888324
Lomita ,CA,20156,33.7922392,-118.3150722
Point Pleasant,NJ,20139,40.0831714,-74.0681931
Bensenville,IL,20138,41.9550296,-87.94006569999999
Snellville ,GA,20112,33.857328,-84.0199108
Liberal ,KS,20074,37.0430812,-100.920999
Elizabeth City ,NC,20025,36.2946008,-76.2510461
Balch Springs ,TX,20003,32.7287413,-96.62277139999999
Brownsburg,IN,19994,39.8433769,-86.39777350000001
Gallup ,NM,19979,35.5280783,-108.7425843
College Park ,GA,19969,33.6534427,-84.4493725
Sidney ,OH,19944,40.2842164,-84.1554987
Maple Valley ,WA,19929,47.3733483,-122.0369239
Mountlake Terrace ,WA,19912,47.7881528,-122.3087405
El Dorado ,AR,19905,33.20763,-92.6662674
Brookings ,SD,19865,44.3113573,-96.79838769999999
Clinton ,UT,19855,41.139666,-112.0504983
Lynbrook,NY,19852,40.6548253,-73.67179689999999
Pleasant Prairie,WI,19847,42.5530753,-87.9334118
Hammond ,LA,19803,30.5043583,-90.46119949999999
Alice ,TX,19797,27.7522487,-98.0697249
Albertville ,AL,19794,34.2675937,-86.20886689999999
Miamisburg ,OH,19793,39.6428362,-84.2866083
McDonough ,GA,19768,33.4473361,-84.1468616
Parma Heights ,OH,19757,41.39005179999999,-81.7595769
Glassboro,NJ,19751,39.70289229999999,-75.1118422
Macomb ,IL,19736,40.4592076,-90.67179709999999
Bethany ,OK,19729,35.5186678,-97.63226390000001
Tinton Falls,NJ,19703,40.3042773,-74.1004185
Ashtabula ,OH,19689,41.8650534,-80.7898089
Fountain ,CO,19669,38.682219,-104.7008056
Shelbyville ,TN,19669,35.483406,-86.46027169999999
Deerfield,IL,19667,42.1711365,-87.8445119
Pittsburg ,KS,19649,37.410884,-94.70496
East Ridge ,TN,19642,34.99474410000001,-85.2256635
Northfield ,MN,19633,44.4582983,-93.161604
Hialeah Gardens ,FL,19631,25.8650961,-80.3244957
Germantown,WI,19594,43.2286174,-88.1103691
Nogales ,AZ,19573,31.3403775,-110.9342532
Cary,IL,19559,42.21324990000001,-88.24768499999999
South St. Paul ,MN,19552,44.8759802,-93.0275802
Stafford ,TX,19541,29.6160671,-95.55772209999999
Terrell ,TX,19527,32.7359626,-96.2752569
Eastlake ,OH,19520,41.65393590000001,-81.4503924
Ennis ,TX,19506,32.3293111,-96.6252679
Orange ,TX,19494,30.0929879,-93.7365549
Murrysville,PA,19488,40.4284015,-79.69754499999999
Christiansburg,VA,19477,37.1298517,-80.4089389
Acworth ,GA,19476,34.0659329,-84.6768796
Eagle ,ID,19471,43.6954424,-116.3540138
Sulphur ,LA,19450,30.2365943,-93.37737829999999
Crestview ,FL,19444,30.7541808,-86.5727995
Ottawa ,IL,19419,41.3455892,-88.8425769
Jacksonville ,IL,19415,39.733936,-90.2290098
Plattsburgh ,NY,19393,44.6994873,-73.4529124
Palisades Park,NJ,19375,40.8481556,-73.99763899999999
Evergreen Park,IL,19359,41.7205889,-87.7017175
Hermosa Beach ,CA,19350,33.8622366,-118.3995194
Thomasville ,GA,19286,30.8365815,-83.9787808
Niles ,OH,19268,41.1828353,-80.76535799999999
Morristown,NJ,19268,40.79676670000001,-74.4815438
Mokena,IL,19236,41.5261437,-87.8892189
Seymour ,IN,19223,38.9592201,-85.8902547
Brook Park ,OH,19194,41.3983838,-81.8045788
Chowchilla ,CA,19193,37.1229997,-120.2601754
Sylvania ,OH,19185,41.7189392,-83.7129935
Brownwood ,TX,19140,31.7093197,-98.9911611
Louisville ,CO,19133,39.977763,-105.1319296
Eustis ,FL,19129,28.8527675,-81.6853534
Mineola,NY,19108,40.7492678,-73.64068449999999
Madisonville ,KY,19106,37.32810050000001,-87.4988882
Daphne ,AL,19093,30.6035255,-87.9036047
Farmington ,MN,19057,44.6402434,-93.1435497
Haines City ,FL,19056,28.1141841,-81.61785359999999
Wilsonville ,OR,19055,45.2998418,-122.7737062
Patterson ,CA,19034,37.4716001,-121.129656
Warrensburg ,MO,19034,38.7627893,-93.73604979999999
Bourbonnais,IL,19024,41.1760108,-87.87952299999999
Fairmont ,WV,19024,39.4850848,-80.1425781
Cartersville ,GA,19010,34.1650972,-84.7999382
Seminole ,FL,19002,27.8397466,-82.79121339999999
Decatur ,GA,18986,33.7748275,-84.2963123
Trussville ,AL,18985,33.6198251,-86.60887559999999
Port Angeles ,WA,18982,48.118146,-123.4307413
Indian Trail,NC,18976,35.0768141,-80.6692352
Coalinga ,CA,18974,36.139678,-120.3601496
Bellwood,IL,18973,41.8814197,-87.883117
West St. Paul ,MN,18935,44.9160768,-93.10160739999999
Birmingham ,MI,18932,42.5467012,-83.21131919999999
Oregon ,OH,18921,41.6436603,-83.48687679999999
Altus ,OK,18912,34.637765,-99.3340442
Rocky River ,OH,18900,41.4768217,-81.8497567
Fort Walton Beach ,FL,18880,30.42007079999999,-86.6170308
Pleasantville ,NJ,18853,39.3898388,-74.5240422
Selma ,AL,18847,32.4073589,-87.02110069999999
Evans ,CO,18842,40.3763701,-104.6921874
Nixa ,MO,18829,37.0433863,-93.294353
Steubenville ,OH,18820,40.3697905,-80.63396379999999
Cudahy ,WI,18809,42.959738,-87.861471
Pinole ,CA,18808,38.0043667,-122.2988587
Moses Lake ,WA,18800,47.1301417,-119.2780771
Greenfield ,IN,18787,39.785043,-85.7694226
Weirton ,WV,18748,40.41895660000001,-80.58951669999999
Brigham City ,UT,18709,41.5102129,-112.0155015
St. Matthews ,KY,18709,38.2435659,-85.63577889999999
Laurel ,MS,18693,31.6940509,-89.1306124
Alsip,IL,18692,41.6689223,-87.73866190000001
Sachse ,TX,18688,32.9762327,-96.5952703
Central Falls ,RI,18683,41.8906553,-71.3922785
Logansport ,IN,18663,40.7544843,-86.3566659
Elmwood Park,NJ,18634,40.9039878,-74.118476
Pinecrest,FL,18614,25.6622835,-80.3070395
Angleton ,TX,18613,29.16941,-95.4318847
Tullahoma ,TN,18579,35.3620235,-86.20943419999999
Manchester ,MO,18569,38.5969977,-90.5092882
Baldwin,PA,18562,40.3381252,-79.9789404
Shelbyville ,IN,18516,39.5214373,-85.7769238
Forest Park ,OH,18514,39.2903353,-84.50411079999999
Ansonia ,CT,18503,41.34620779999999,-73.07899689999999
Sand Springs ,OK,18489,36.1398102,-96.108891
Coralville ,IA,18478,41.6822756,-91.5960643
Homewood,IL,18475,41.5572567,-87.6656014
Painesville ,OH,18474,41.7244885,-81.245657
Orinda ,CA,18445,37.8771476,-122.1796888
Hinsdale,IL,18439,41.8008642,-87.9370052
Rolla ,MO,18438,37.948544,-91.7715303
Cortland ,NY,18434,42.6011813,-76.1804843
Mamaroneck,NY,18413,40.94870969999999,-73.7326309
Palestine ,TX,18390,31.7621153,-95.6307891
McAlester ,OK,18388,34.9334298,-95.76971309999999
Carlisle,PA,18379,40.2010241,-77.20027449999999
Universal City ,TX,18376,29.5480071,-98.2911235
New Castle ,IN,18339,39.928935,-85.3702476
West Chester,PA,18315,39.9606643,-75.6054882
Chambersburg,PA,18302,39.9375911,-77.6611022
Augusta ,ME,18282,44.3106241,-69.7794897
Marshfield ,WI,18267,44.6688524,-90.1717987
Natchitoches ,LA,18241,31.7607195,-93.08627489999999
Marysville ,OH,18212,40.2364486,-83.3671432
Columbia Heights ,MN,18210,45.0481968,-93.2474098
Bellaire ,TX,18197,29.7057858,-95.4588299
Whitehall ,OH,18180,39.9667308,-82.8854559
Laguna Woods ,CA,18170,33.6101702,-117.7251162
Carrboro,NC,18162,35.9101438,-79.0752895
Newton ,KS,18133,38.0466779,-97.34503649999999
Saco ,ME,18125,43.5009176,-70.4428286
Covington ,WA,18115,47.3595592,-122.118012
Ozark ,MO,18095,37.0208865,-93.2060163
Mandan ,ND,18091,46.8266603,-100.8895761
Brookfield,IL,18077,41.8239203,-87.8517253
Windsor,CO,18058,40.4774818,-104.9013617
Clarksdale ,MS,18006,34.2001086,-90.5709323
Hawthorne,NJ,17997,40.9492649,-74.1537549
Montrose ,CO,17989,38.4783198,-107.8761738
Berea ,OH,17987,41.3661614,-81.8543026
Frankfort,IL,17981,41.4958665,-87.84866129999999
Vincennes ,IN,17976,38.677269,-87.5286325
Franklin Park,IL,17965,41.9348537,-87.87952299999999
Trenton ,MI,17965,42.1394858,-83.1782587
Hazel Park ,MI,17955,42.4625362,-83.1040912
Camas ,WA,17950,45.58706309999999,-122.3995363
Marina ,CA,17943,36.68440289999999,-121.802173
Stillwater ,MN,17896,45.056004,-92.80884429999999
Bay City ,TX,17891,28.9827565,-95.969402
Lenoir ,NC,17890,35.9140196,-81.5389849
Dickinson ,TX,17886,29.4607876,-95.0513172
Belton ,TX,17876,31.0560132,-97.46445299999999
Dover,NJ,17860,40.883988,-74.5621025
Willmar ,MN,17774,45.1223711,-95.048659
Colonial Heights ,VA,17768,37.244039,-77.4102607
Mayfield Heights ,OH,17737,41.5192189,-81.45789599999999
Mustang ,OK,17727,35.384226,-97.7244867
Washington ,UT,17716,37.1305373,-113.5082867
Raymore ,MO,17703,38.801953,-94.4527294
Takoma Park ,MD,17701,38.9778882,-77.0074765
Scarsdale,NY,17695,41.0050977,-73.7845768
Herriman ,UT,17689,40.5141147,-112.0329938
Westminster ,MD,17689,39.5753791,-76.9958149
North Ogden ,UT,17682,41.3071645,-111.9602196
Madison ,MS,17681,32.4618086,-90.1153638
Sycamore ,IL,17679,41.9889173,-88.6867538
Lackawanna ,NY,17588,42.8256141,-78.8233664
New Port Richey ,FL,17578,28.2441768,-82.7192671
South Burlington ,VT,17574,44.4669941,-73.1709604
Springboro ,OH,17551,39.5522815,-84.2332718
Newburyport ,MA,17542,42.8125913,-70.87727509999999
Amsterdam ,NY,17533,42.9377453,-74.190356
Pickerington ,OH,17531,39.8842304,-82.7535049
Godfrey,IL,17524,38.9556031,-90.1867764
Wilkinsburg,PA,17522,40.4417355,-79.8819942
Douglas ,AZ,17515,31.3445471,-109.5453447
Converse ,TX,17510,29.5180081,-98.3161241
Dublin ,GA,17509,32.5404447,-82.90375399999999
Lindenwold,NJ,17485,39.8201681,-74.9851678
Gardner ,KS,17462,38.8108408,-94.9271868
Claremore ,OK,17458,36.3125963,-95.61609
Rutherford,NJ,17454,40.826489,-74.10680909999999
Hannibal ,MO,17432,39.7083789,-91.35848159999999
Payson ,UT,17429,40.0443989,-111.7321518
Bristol ,VA,17424,36.595141,-82.1888089
Matteson,IL,17420,41.5039235,-87.71310179999999
Dixon ,CA,17412,38.4454641,-121.8232958
Twinsburg ,OH,17394,41.3125552,-81.4401129
Albert Lea ,MN,17389,43.6478006,-93.3686555
Marion ,IL,17388,37.7306054,-88.9331256
Massapequa Park,NY,17385,40.6804893,-73.4553119
Pampa ,TX,17382,35.5361559,-100.9598709
Sherwood ,OR,17373,45.3565074,-122.840098
Forest Lake ,MN,17373,45.2788561,-92.9852183
Kirksville ,MO,17368,40.19475389999999,-92.5832496
Oswego ,NY,17351,43.4553461,-76.5104973
Tiffin ,OH,17347,41.1144992,-83.1779746
Susanville ,CA,17336,40.4162842,-120.6530063
Golden ,CO,17321,39.755543,-105.2210997
New Philadelphia ,OH,17319,40.4897871,-81.4456706
Tallmadge ,OH,17293,41.1014451,-81.441779
Anoka ,MN,17289,45.1977428,-93.3871758
Tifton ,GA,17284,31.4504629,-83.5084973
Broadview Heights ,OH,17274,41.3139426,-81.6851271
Oxford ,MS,17265,34.3664951,-89.5192484
Springfield ,TN,17261,36.5092118,-86.8849984
Ashwaubenon,WI,17235,44.4822137,-88.0701033
Clemmons,NC,17234,36.0215258,-80.3819984
Farmington ,UT,17217,40.9804999,-111.8874392
Sugar Hill ,GA,17204,34.1064895,-84.0335197
Lathrop ,CA,17197,37.8227046,-121.27661
Sheridan ,WY,17197,44.7971939,-106.9561791
Morganton ,NC,17194,35.7454071,-81.6848188
Erlanger ,KY,17188,39.0167275,-84.60077729999999
Wayne ,MI,17186,42.2814269,-83.3863214
Arroyo Grande ,CA,17180,35.1185868,-120.5907252
Mattoon ,IL,17177,39.48308970000001,-88.37282549999999
Wisconsin Rapids ,WI,17164,44.38357630000001,-89.8173465
Santa Fe Springs ,CA,17159,33.9472359,-118.0853451
Elko ,NV,17156,40.8324211,-115.7631232
Ocean Springs ,MS,17149,30.4113097,-88.8278057
Avenal ,CA,17147,36.0041223,-120.1290272
Fairhope ,AL,17147,30.5229719,-87.9033261
Simpsonville ,SC,17144,34.7370639,-82.25428339999999
Ellensburg ,WA,17141,46.9965144,-120.5478474
Dyersburg ,TN,17126,36.0345159,-89.38562809999999
Poplar Bluff ,MO,17096,36.7569994,-90.392888
Donna ,TX,17094,26.1703525,-98.05194999999999
Tukwila ,WA,17092,47.4739884,-122.2609558
Safety Harbor ,FL,17089,27.9908529,-82.6931553
Avon ,OH,17086,41.4517093,-82.03542250000001
Goodlettsville ,TN,17075,36.3231066,-86.7133302
Laconia ,NH,17065,43.5278546,-71.4703509
Chickasha ,OK,17062,35.052565,-97.93643259999999
Monroe ,WA,17059,47.8553772,-121.9709579
Sikeston ,MO,17053,36.876719,-89.5878579
Moraga,CA,17050,37.8349263,-122.1296871
Perrysburg ,OH,17049,41.556996,-83.627157
Arcata ,CA,17044,40.8665166,-124.0828396
Martinsburg ,WV,17020,39.4562099,-77.96388689999999
Fuquay-Varina,NC,17002,35.5843235,-78.80001279999999
Vero Beach ,FL,16982,27.6386434,-80.39727359999999
Dumont,NJ,16968,40.9406541,-73.9968051
Union City ,GA,16961,33.5870558,-84.5424299
Hopkins ,MN,16961,44.9260794,-93.4044187
Talladega ,AL,16943,33.4359416,-86.1058048
North Canton ,OH,16925,40.875891,-81.4023356
Palos Hills ,IL,16924,41.6966992,-87.8169984
Stephenville ,TX,16921,32.2206958,-98.2022633
Bartow ,FL,16919,27.8964147,-81.8431374
Mill Creek ,WA,16907,47.8600971,-122.2042966
Mineral Wells ,TX,16880,32.8084605,-98.1128223
Creve Coeur ,MO,16868,38.6608855,-90.42261800000001
Sevierville ,TN,16846,35.8681455,-83.56183500000002
Beckley ,WV,16832,37.7781702,-81.1881557
Battle Ground ,WA,16812,45.7809491,-122.5334307
Arlington ,WA,16810,48.1987118,-122.1251418
Bonney Lake ,WA,16809,47.1770457,-122.1865056
Anacortes ,WA,16798,48.51260449999999,-122.6126718
Mount Clemens ,MI,16781,42.5972563,-82.8779754
Onalaska ,WI,16778,43.8844092,-91.23513930000001
St. Marys ,GA,16763,30.7478954,-81.57061089999999
Howard,WI,16753,44.5623531,-88.08030509999999
Round Lake,IL,16748,42.353355,-88.0934145
Rutland ,VT,16742,43.6106237,-72.9726065
Highland Village ,TX,16737,33.091788,-97.0466759
Ada ,OK,16729,34.774531,-96.6783449
Country Club Hills ,IL,16723,41.5680898,-87.72032569999999
Grandville ,MI,16718,42.9097484,-85.7630885
Rancho Mirage ,CA,16714,33.739744,-116.41279
Belle Glade ,FL,16681,26.6845104,-80.6675577
Fremont ,OH,16655,41.3503303,-83.1218634
Fairview Heights ,IL,16643,38.5889386,-89.990382
La Vista ,NE,16643,41.18388780000001,-96.031127
Shively ,KY,16641,38.2000701,-85.8227413
Millbrook ,AL,16640,32.4798575,-86.36191629999999
Norwalk ,OH,16637,41.24255309999999,-82.6157331
Menasha ,WI,16627,44.2022084,-88.44649729999999
Tahlequah ,OK,16623,35.91537,-94.969956
Alamo ,TX,16608,26.1836854,-98.1230638
Winchester ,KY,16598,37.990079,-84.17965029999999
Murray ,KY,16557,36.6103334,-88.31476099999999
Asbury Park ,NJ,16546,40.2203907,-74.0120817
El Reno ,OK,16545,35.5322741,-97.9550493
Westbrook ,ME,16534,43.6770252,-70.3711617
Americus ,GA,16524,32.0723861,-84.23268759999999
Huntington ,IN,16521,40.8831011,-85.49747599999999
Yorkville ,IL,16505,41.6411409,-88.44729480000001
Central Point ,OR,16503,42.3759586,-122.9164307
Portland ,TX,16490,27.8772463,-97.3238805
Cocoa ,FL,16478,28.3861159,-80.7419984
Midlothian ,TX,16478,32.482361,-96.9944489
Gainesville ,TX,16452,33.62594139999999,-97.1333453
Durant ,OK,16450,33.9924186,-96.39712329999999
Mesquite ,NV,16444,36.80553099999999,-114.06719
Palm Springs,FL,16442,26.6359009,-80.0961538
Clarksburg ,WV,16441,39.2806451,-80.34453409999999
Erie,CO,16432,40.0502623,-105.0499817
Durango ,CO,16416,37.27528,-107.8800667
Natchez ,MS,16413,31.5604442,-91.40317100000001
Roanoke Rapids ,NC,16403,36.4615395,-77.6541464
Gretna ,LA,16399,29.9146493,-90.0539603
